Country,Subregion,Continent,,,,,,,,,,,,,
Nigeria,Western Africa,Africa,,,,,,,,,,,,,
Ethiopia,Eastern Africa,Africa,,,,,,,,,,,,,
Egypt,Northern Africa,Africa,,,,,,,,,,,,,
DR Congo,Middle Africa,Africa,,,,,,,,,,,,,
Tanzania,Eastern Africa,Africa,,,,,,,,,,,,,
South Africa,Southern Africa,Africa,,,,,,,,,,,,,
Kenya,Eastern Africa,Africa,,,,,,,,,,,,,
Uganda,Eastern Africa,Africa,,,,,,,,,,,,,
Algeria,Northern Africa,Africa,,,,,,,,,,,,,
Sudan,Northern Africa,Africa,,,,,,,,,,,,,
Morocco,Northern Africa,Africa,,,,,,,,,,,,,
Angola,Middle Africa,Africa,,,,,,,,,,,,,
Mozambique,Eastern Africa,Africa,,,,,,,,,,,,,
Ghana,Western Africa,Africa,,,,,,,,,,,,,
Madagascar,Eastern Africa,Africa,,,,,,,,,,,,,
Cameroon,Middle Africa,Africa,,,,,,,,,,,,,
Côte d'Ivoire,Western Africa,Africa,,,,,,,,,,,,,
Niger,Western Africa,Africa,,,,,,,,,,,,,
Burkina Faso,Western Africa,Africa,,,,,,,,,,,,,
Mali,Western Africa,Africa,,,,,,,,,,,,,
Malawi,Eastern Africa,Africa,,,,,,,,,,,,,
Zambia,Eastern Africa,Africa,,,,,,,,,,,,,
Senegal,Western Africa,Africa,,,,,,,,,,,,,
Chad,Middle Africa,Africa,,,,,,,,,,,,,
Somalia,Eastern Africa,Africa,,,,,,,,,,,,,
Zimbabwe,Eastern Africa,Africa,,,,,,,,,,,,,
Guinea,Western Africa,Africa,,,,,,,,,,,,,
Rwanda,Eastern Africa,Africa,,,,,,,,,,,,,
Benin,Western Africa,Africa,,,,,,,,,,,,,
Burundi,Eastern Africa,Africa,,,,,,,,,,,,,
Tunisia,Northern Africa,Africa,,,,,,,,,,,,,
South Sudan,Eastern Africa,Africa,,,,,,,,,,,,,
Togo,Western Africa,Africa,,,,,,,,,,,,,
Sierra Leone,Western Africa,Africa,,,,,,,,,,,,,
Libya,Northern Africa,Africa,,,,,,,,,,,,,
